"Aba / Modulo";"Codigo";"Item / Bloco";"Descricao Detalhada do Escopo";"Entregavel Principal";"Prazo Estimado (Dias Uteis)";"Investimento (R$)";"Observacoes / Premissas"
"1. Resumo Executivo";"BLOCO-A";"Bloco A: Estudo, Diagnostico UX/IA & Direcao de Arte";"Diagnostico critico de usabilidade do site legado, benchmark de portais contemporaneos de turismo/cultura, revisao da arquitetura de informacao (area Rouanet e Mapa) e mapeamento de oportunidades de Design de Servico.";"Documento Executivo de Diagnostico e Racional (PDF/Notion)";6;4200.00;"Alinhamento inicial de requisitos e direcao estetica"
"1. Resumo Executivo";"BLOCO-B";"Bloco B: Sistema de Operacao / Design System Digital";"Fundacao visual e tecnica para Front-end: Design Tokens (cores, tipografia, grid 8pt, elevacoes), componentes fundamentais (botoes, cards, badges, inputs, breadcrumbs), matriz de estados (hover, active, disabled, loading/skeleton, empty) e conformidade WCAG 2.1 AA.";"Biblioteca componentizada no Figma (Auto Layout e Tokens para React)";8;6800.00;"Reuniao previa de 45 min com Diogo (TI/React)"
"1. Resumo Executivo";"BLOCO-C";"Bloco C: Layouts de Templates Mestres (Desktop)";"Criacao de 7 moldes estruturais dinamicos: 1. Home; 2. Listagem de Subcategorias c/ filtros; 3. Pagina Individual Padrao (comercial/servicos); 4. Pagina de Distrito/Regiao (12 distritos); 5. Hub Patrimonios, Marcos e Lendas (Rouanet); 6. Pagina Mapa Interativo Base; 7. Pagina de Noticias/Artigos.";"Telas em alta fidelidade no Figma organizadas em fluxo logico";14;8900.00;"R$ 1.271,43 por template mestre; alimentados via CMS existente"
"1. Resumo Executivo";"BLOCO-D";"Bloco D: Adaptacao Responsiva (Mobile-First)";"Adaptacao dedicada dos 7 templates mestres para viewport Mobile (390px), priorizando toque minimo de 44px, gavetas de navegacao inferior (sheets) e fluidez para resolucoes intermediarias.";"Telas mobile integradas aos fluxos de cada template no Figma";3;4500.00;"Executado em fluxo integrado ao Bloco C"
"1. Resumo Executivo";"TOTAL-BASE";"Subtotal Avulso (Soma dos Blocos)";"Contratacao dos blocos de forma fracionada ou independente.";"Escopo integral executado";28;24400.00;"Valor sem aplicacao de desconto de pacote"
"1. Resumo Executivo";"PACOTE-INT";"PACOTE INTEGRADO (A + B + C + D)";"Contratacao unificada dos 4 blocos em contrato unico continuo.";"Entrega completa ponta a ponta pronta para codificacao";25;22800.00;"Desconto de alinhamento e eficiencia de fluxo continuo (-R$ 1.600,00)"
"2. Detalhamento Templates";"TPL-01";"Home do Portal";"Estrutura com banner de impacto nobre, vitrine editorial, atalhos de areas urbana/rural e destaque de entrada da nova area Rouanet.";"Layout Desk + Mobile";2;1271.43;"Foco em hierarquia e reducao de dispersao do usuario"
"2. Detalhamento Templates";"TPL-02";"Listagem de Subcategorias";"Template unificado com filtros combinados (localizacao, nicho, horario), ordenacao e paginacao para o acervo de 1.700+ itens.";"Layout Desk + Mobile";2;1271.43;"Resolve urbana, rural e servicos com mesma estrutura"
"2. Detalhamento Templates";"TPL-03";"Pagina Individual Padrao (Comercial)";"Ficha de estabelecimento (gastronomia, hotelaria, comercio) com galeria, mapa estatico, dados de contato contextualizados e horarios.";"Layout Desk + Mobile";2;1271.43;"Sem dispersao; links com gatilho claro de beneficio"
"2. Detalhamento Templates";"TPL-04";"Pagina de Distrito / Regiao";"Template dinamico reutilizavel para os 12 distritos de Caxias do Sul (Forqueta, Criuva, Galopolis, Fazenda Souza, etc.).";"Layout Desk + Mobile";2;1271.43;"Agrupa historia do distrito, atrativos e produtores rurais"
"2. Detalhamento Templates";"TPL-05";"Hub Patrimonios, Marcos e Lendas";"Area nobre aprovada pela Lei Rouanet: linha do tempo, galeria historica, acervo de lendas populares e contextualizacao geografica.";"Layout Desk + Mobile";3;1271.43;"Atende rigorosamente a prestacao de contas cultural"
"2. Detalhamento Templates";"TPL-06";"Pagina Mapa Interativo (Nivel Base)";"Visualizacao cartografica com pins de categorias, clustering inteligente e card/sheet lateral para visualizacao rapida sem recarregar.";"Layout Desk + Mobile";2;1271.43;"Integracao com Leaflet, Mapbox ou Google Maps no React"
"2. Detalhamento Templates";"TPL-07";"Noticias & Agenda de Eventos";"Layout editorial para cobertura jornalistica, divulgacao da Festa da Uva, feiras de distrito e eventos culturais periodicos.";"Layout Desk + Mobile";1;1271.43;"Reaproveita componentes de grid e tipografia"
"3. Tabela de Variaveis (Item 6)";"VAR-6.1";"8º Template Dedicado (Detalhe Rouanet)";"Separacao formal entre o template de detalhe comercial (TPL-03) e a ficha aprofundada de Patrimonio Cultural/Monumento Historico.";"Template Desk + Mobile";2;1600.00;"Recomendado para dar peso cientifico e patrimonial"
"3. Tabela de Variaveis (Item 6)";"VAR-6.2";"Mapa Interativo com Roteirizacao";"Evolucao do mapa base para suportar rotas guiadas sequenciais, filtros multi-camadas e calculo de trajeto interativo no design.";"Fluxos e Estados de Rota no Figma";3;2400.00;"Aplicavel se o projeto cultural exigir roteiros prontos"
"3. Tabela de Variaveis (Item 6)";"VAR-6.3";"Breakpoint Tablet Dedicado (Pranchas)";"Pranchas graficas estaticas desenhadas sob medida para viewports de iPad/Tablet (768px a 834px). O pacote base ja resolve via Auto Layout fluido.";"Pranchas adicionais no Figma";3;2800.00;"Opcional caso a fiscalizacao da lei exija pranchas exclusivas"
"3. Tabela de Variaveis (Item 6)";"VAR-6.4";"Template Adicional Excedente";"Qualquer outro molde de pagina nao mapeado na lista inicial dos 7 templates mestres.";"Template Mestre Desk + Mob";2;1600.00;"Valor unitario para novas frentes"
"3. Tabela de Variaveis (Item 6)";"VAR-6.5";"Rodada Extra de Revisao";"Estao inclusas 2 rodadas consolidadas por bloco. Horas ou ciclo excedente de alteracao de escopo validado.";"Homologacao de Ajustes";"-";1100.00;"Ou R$ 180,00/hora tecnica documentada"
"4. Governanca e Regras";"GOV-01";"Acessibilidade WCAG 2.1 AA";"Garantia de contraste cromatico superior a 4.5:1, hierarquia H1-H6 semantica e areas de clique acessiveis.";"Relatorio de Conformidade Acessivel";"-";"Incluso";"Seguranca juridica para a prestacao de contas do fomento"
"4. Governanca e Regras";"GOV-02";"Handoff Direto para React (Diogo)";"Especificacao de nomes de tokens, props de componentes e estrutura em conformidade com Tailwind/CSS Modules.";"Figma Dev Mode Documentado";"-";"Incluso";"Zero atrito ou retrabalho para a equipe tecnica da TI"
"4. Governanca e Regras";"GOV-03";"Tratamento de Imagens Heterogeneas";"Sistemas de mascaras, overlays de legibilidade e aspect-ratios travados para fotos antigas de baixa resolucao.";"Guias de Aplicacao de Midia";"-";"Incluso";"Resolve o problema do acervo historico misturado com fotos novas"
"4. Governanca e Regras";"GOV-04";"Limites de Escopo (Fora de Escopo)";"Nao inclui: desenvolvimento de codigo/front-end, redacao de textos de pesquisa historica, edicao fotografica individual e alteracoes no banco CMS.";"Termo de Delimitacao Tecnica";"-";"-";"Delimita a responsabilidade da Onira Labs no Design"
