id,nome,categoria,tipo,distrito,endereco,status_site,url_site,nota_google,reviews_google,volume_reviews,produto_onira,grau_fit,racional_fit,pitch_comercial,whatsapp,google_maps_url,instagram_handle,instagram_cadencia,guia_url
1,"Café Colonial, Giardino e Empório - Famiglia Pezzi",Gastronomia Rural,Rural / Interior,Vila Cristina,"Estrada Municipal do Imigrante, 15247, Nova Palmira, Vila Cristina - Caxias do S",🔴 Sem Site (100% Guia),,4.8,501,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5551998093885,"https://www.google.com.br/maps/dir//Famiglia+Pezzi+-+Estrada+Municipal+do+Imigrante,+15247,+Nova+Palmira,+Caxias+do+Sul+Pr%C3%B3ximo+ao+antigo+ped%C3%A1gio+de+Vila+Cristina+Zona+rural+de+Caxias+do+Sul,+Caxias+do+Sul+-+RS,+95124-010/@-29.3126701,-51.1796227,230m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ea5ff4390c8ad:0xfab3806aee90e9ae!2m2!1d-51.1797641!2d-29.3127037!3e0",@cafcolonialgiardinoe,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/cafe-colonial-giardino-e-emporio-famiglia-pezzi-2717
2,Casa Fagundes,Gastronomia Rural,Rural / Interior,Distritos / Interior,Não informado,🟢 Site Ativo (200),https://www.casafagundes.com.br/,4.8,160,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🟡 Fit Alto,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555432871850,"https://www.google.com.br/maps/dir//Casa+Fagundes+-+172+BR-116+Vila+Cristina,+RS,+95124-010/@-29.312277,-51.1671142,253m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x951eb0395928b20d:0x7ca8bfab370735af!2m2!1d-51.1670224!2d-29.3120583",@casafagundes,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/casa-fagundes-2793
3,Pavos Brassaria - cerveja artesanal e garden,Gastronomia Rural,Rural / Interior,São Virgílio,"Estrada Municipal da Uva, 540, em frente a Igreja da Localidade de São Virgílio ",🔴 Sem Site (100% Guia),,4.5,412,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999853005,"https://www.google.com/maps/dir//Pavos+Brassaria+-+Estr.+da+Uva,+540+-+Forqueta,+Caxias+do+Sul+-+RS,+95115-990/@-29.2625696,-51.2420032,527m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x951eb09569db011d:0xf7e12713b2e0f045!2m2!1d-51.2414997!2d-29.2616766",@pavosbrassariacervej,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/pavos-brassaria-cerveja-artesanal-e-garden-1406
4,Cantina Tonet Vinícola,"Gastronomia Rural | Vinhos, Sucos e Espumantes",Rural / Interior,Linha 40,"Estrada Municipal Vereador Vicente Menezes, s/nº - Linha 40 *Caxias do Sul - RS",⚠️ Site Fora do Ar (404/SSL),https://www.cantinatonet.com.br/index.php?route=product/allproduct&sort=pd.name&order=DESC,4.6,1966,🔥 Alto (>300),Onira Vouchers (Degustação & Split Pix),🔴 Fit Crítico,Enoturismo rural dependente de reservas antecipadas; alto valor agregado por pessoa (R$ 80 a R$ 180) com split automático de 10% no Guia.,"Vender vouchers de degustação harmonizada antecipada pelo Guia e canal próprio, eliminando no-show.",+5554981010026,"https://www.google.com/maps/dir//-29.120052,-51.204712/@-29.1200473,-51.2069007,17z",@cantinatonetvincola,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/vinhos-sucos-e-espumantes/cantina-tonet-vinicola-449
5,Villa Dei Troni,Gastronomia Rural,Rural / Interior,Ana Rech,"R. José Fabro, 1661 - Ana Rech, Caxias do Sul - RS,",🟢 Site Ativo (200),https://www.villadeitroni.com/,4.8,79,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🟡 Fit Alto,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555554994442780,"https://www.google.com/maps/dir//Villa+Dei+Troni+Ltda+-+R.+Jose+Fabro,+1661+-+Ana+Rech,+Caxias+do+Sul+-+RS,+95062-200/@-29.1039376,-51.0973768,659m/data=!3m1!1e3!4m16!1m7!3m6!1s0x951ebfd54c314f1d:0x8b36c87c69665949!2sVilla+Dei+Troni+Ltda!8m2!3d-29.1039376!4d-51.0948019!16s%2Fg%2F11kqgncgwz!4m7!1m0!1m5!1m1!1s0x951ebfd54c314f1d:0x8b36c87c69665949!2m2!1d-51.0948019!2d-29.1039376?entry=ttu&g_ep=EgoyMDI2MDgzMS4wIKXMDSoASAFQAw%3D%3D",@villadeitroni,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/villa-dei-troni-3375
6,Agroindústria Dolci Ricorddi,Gastronomia Rural,Rural / Interior,Distritos / Interior,"  Endereço - Estrada Padre Ari Camelo, Linha São Paulo - Distrito de Santa Lúcia",🔴 Sem Site (100% Guia),,4.7,51,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554997085364,https://maps.app.goo.gl/fi8fggQFNoDw2k539,@agroindstriadolciric,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/agroindustria-dolci-ricorddi-2869
7,Baleia's Pizzaria,Gastronomia Rural,Rural / Interior,Ana Rech,"Av. Rio Branco, 1687, Ana Rech",🔴 Sem Site (100% Guia),,4.4,146,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554981654470,https://www.google.com.br/maps/dir//Baleia,@baleiaspizzaria,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/baleias-pizzaria-3139
8,Banca Marchi Produtos Coloniais,Gastronomia Rural,Rural / Interior,Galópolis," BR-116, Galópolis",🔴 Sem Site (100% Guia),,4.5,343,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554984465001,"https://www.google.com/maps/dir//Banca+Marchi+Produtos+Coloniais+-+BR-116,+668-782+-+Caxias+do+Sul,+RS/@-29.2457845,-51.1562021,185m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ebae998215275:0x6be2e8a60b656f77!2m2!1d-51.1563986!2d-29.2454683!3e0",@bancamarchiprodutosc,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/banca-marchi-produtos-coloniais-3037
9,Barcarolo Café e Garden,Gastronomia Rural,Rural / Interior,Vila Cristina,"RS 452, Km 25, Nova Palmira, Distrito de Vila Cristina - Caxias do Sul - RS",🔴 Sem Site (100% Guia),,4.4,136,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555499483292,"https://www.google.com.br/maps/place/Recanto+Nova+Palmira/@-29.3370443,-51.2272187,13z/data=!4m5!3m4!1s0x951eaf073a9fec87:0x6d8e8b3cf7e15433!8m2!3d-29.3285094!4d-51.1859916",@barcarolocafegarden,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/barcarolo-cafe-e-garden-2931
10,Bolicho Do Cadão,Gastronomia Rural,Rural / Interior,Vila Oliva,Endereço: Avenida Gavioli 1569 - Distrito de Vila Oliva,🔴 Sem Site (100% Guia),,4.8,394,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/dir//-29.2242452,-50.8901369/@-29.2241167,-50.8896635,240m/data=!3m1!1e3!4m2!4m1!3e0",@bolichodocado,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/bolicho-do-cadao-2749
